"100 grams","Pure chocolate","Milk chocolate","White chocolate"
"Protein (g)",4.7,8.4,8
"Fat (g)",29.2,30.3,30.9
"Calories (kcal)",525,529,529
"Carbohydrate (g)",64.8,59.4,58.3
"Calcium (mg)",38,220,270
"Magnesium (mg)",100,55,26
"Iron (mg)",2.4,1.6,0.2
"Zink (mg)",0.2,0.2,0.9
"Vitamin A (µg)",40,40,75
"Vitamin E (mg)",0.85,0.74,1.14
"Vitamin B1 (mg)",0.07,0.1,0.08
"Vitamin B2 (mg)",0.08,0.23,0.49
"Vitamin B3 (mg)",0.4,0.2,0.2
"Vitamin B6 (mg)",0.07,0.07,0.07
"Vitamin B12 (µg)","-","trace","trace"
"Folate (µg)",10,10,10
